"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 18:02:05 IST 2023","Thu Jun 08 18:02:42 IST 2023","37370","","LTIMindteee Web Page Testing","","","","Search and Validate text",""
"passed","Thu Jun 08 18:01:31 IST 2023","Thu Jun 08 18:02:05 IST 2023","33559","","LTIMindteee Web Page Testing","","","","Validate and fill the form",""
